mm-ata01;mk2-m2;mk201;Apakah pengertian investasi dalam aktiva tetap ?;proses yang mengacu pada sebuah pengangaran modal;proses yang mengacu pada sebuah hutang jangka panjang;proses yang mengacu pada sebuah hutang jangka pendek;proses yang mengacu pada sebuah pendapatan;jaw_a
mm-ata01;mk2-m2;mk202;Apakah pengertian dari operating expenditure ?;pengeluaran dana dimana jangka waktu kembalinya melebih dari 1 tahun;pengeluaran dana dimana jangka waktu kembalinya kurang dari 1 tahun;pengeluaran dana dimana jangka waktu kembalinya melebih dari 2 tahun;pengeluaran dana dimana jangka waktu kembalinya kurang dari 2 tahun;jaw_b
mm-ata01;mk2-m2;mk203;Apakah pengertian capital expenditure?;pengeluaran dana dimana jangka waktu kembalinya melebih dari 1 tahun;pengeluaran dana dimana jangka waktu kembalinya kurang dari 1 tahun;pengeluaran dana dimana jangka waktu kembalinya melebih dari 2 tahun;pengeluaran dana dimana jangka waktu kembalinya kurang dari 2 tahun;jaw_b
mm-ata01;mk2-m2;mk204;Capital budgeting adalah proses evaluasi dan seleksi investasi jangka panjang dengan memperhatikan tujuan perusahaan;memaksimalkan kesejahteraan pemegang saham;meminimalkan kesejahteraan pemegang saham;memaksimalkan kesejahteraan perusahaan;meminimalkan kesejahteraan perusahaan;jaw_a
mm-ata01;mk2-m2;mk205;Apakah rumus dari cash inflow (proceed) ?;proceed = EBT + Depresiasi;Proceed = EBT - Depresiasi;proceed = EAT + Depresiasi;Proceed = EAT - Depresiasi;jaw_c
mm-ata01;mk2-m2;mk206;Apakah rumus dari net present value (NPV) ?;NPV = PV.Proceed - PV.Outlays;NPV = PV.Proceed + PV.Outlays;NPV = PV.Outlays + DF;NPV = PV.Outlays - DF;jaw_a
mm-ata01;mk2-m2;mk207;Jika payback pariod > umur ekonomis, maka ..;investasi meragukan;investasi membingungkan;investasi diterima;investasi ditolak;jaw_d
mm-ata01;mk2-m2;mk208;Jika payback pariod < umur ekonomis, maka ..;investasi meragukan;investasi membingungkan;investasi diterima;investasi ditolak ;jaw_c
mm-ata01;mk2-m2;mk209;Lamanya waktu yang diperlukan agar dapat menutup kembali seluruh pengeluaran investasi dengan menggunakan arus kas adalah pengertian dari ..;payback pariod;net present value;profitability index;internal rate of return;jaw_a
mm-ata01;mk2-m2;mk210;Selisih antara nilai arus kas masuk yang akan diterima di waktu yang akan datang dengan arus kas keluar adalah pengertian dari ..;payback pariod ;net present value;profitability index;internal rate of return;jaw_b
mm-ata01;mk2-m2;mk211;Manakah yang bukan termaksud dalam aktiva tetap;tanah;mobil;bangunan;listrik;jaw_d
mm-ata01;mk2-m2;mk212;Apakah pengertian dari accounting rate of return (ARR);membagi antara earning after tax dengan total investasi yang dikeluarkan;membagi antara earning after tax dengan total investasi yang didapatkan;membagi antara earning before tax dengan total investasi yang dikeluarkan;membagi antara earning before tax dengan total investasi yang didapatkan;jaw_a
mm-ata01;mk2-m2;mk213;Yang termaksud manfaat capital budgeting adalah;menyusun daftar ulasan investasi;memilih investasi dari alternatif yang ada;mencegah terjadinya kesalahan dalam decision marketing;menyeleksi investasi yang di usulkan;jaw_c
mm-ata01;mk2-m2;mk214;Apakah rumus untuk mencari PV.Proceed ?;PV.Proceed = EAT x DF;PV.Proceed = EBT x DF;PV.Proceed = Proceed + DF;PV.Proceed = Proceed * DF;jaw_d
mm-ata01;mk2-m2;mk215;Membagi antara nilia sekarang arus kas masuk yang akan diterima diwaktu yang akan datang dengan arus kas keluar adalah pengertian dari;payback pariod ;net present value ;profitability index;internal rate of return ;jaw_c
mm-ata01;mk2-m2;mk216;Tingkat discount rate yang menjadi nilai sekarang arus kas masuk sama dengan arus kas keluar adalah pengertian dari;payback pariod ;net present value ;profitability index ;internal rate of return;jaw_d
mm-ata01;mk2-m2;mk217;Apakah syarat profitability (PI) diterima;PI > 1;PI < 1;PI = 1;PI = 2 ;jaw_a
mm-ata01;mk2-m2;mk218;Apakah syarat account rate of return (ARR) diterima;ARR > 1;ARR < 1;ARR > 100;ARR < 100;jaw_c
mm-ata01;mk2-m2;mk219;Yang tidak termaksud dalam tahapan-tahapan dalam capital budgeting adalah;menyusun daftar usulan investasi;mencegah terjadinya kesalahan dalam decision makingmencegah terjadinya kesalahan dalam decision making;memilih investasi diantara alternatif-alternatif yang diusulkan;menilai dan menyeleksi investasi-investasi yang diusulkan berdasarkan kriteria seleksi yang telah ditentukan;jaw_b
mm-ata01;mk2-m2;mk220;Apakah kepanjangan dari EAT;earning after tax;earning average tax;earning after temple;earning average temple;jaw_a
mm-ata01;mk2-m2;mk221;Apabila IRR < tingkat bunga maka;investasi diterima;investasi ditolak;investasi diragukan;investasi digagalkan;jaw_b
mm-ata01;mk2-m2;mk222;Pengeluaran dana dimana jangka waktu kembalinya MELEBIHI dari 1 tahun disebut;capital expenditure;operating expenditure;capital budgeting;capital overtime;jaw_a
mm-ata01;mk2-m2;mk223;Pengeluaran dana dimana jangka waktu kembalinya KURANG dari 1 tahun disebut;capital expenditure;operating expenditure;capital budgeting;capital overtime;jaw_a
mm-ata01;mk2-m2;mk224;Jika, PI > 1 maka PI ...;ditolak;diterima;dikembalikan;ditahan;jaw_b
mm-ata01;mk2-m2;mk225;Investasi diterima jika ...;payback pariod < umur ekonomis;payback pariod > umur ekonomis ;payback pariod = umur ekonomis;payback pariod >= umur ekonomis;jaw_a
